id,english,turkish,image_file,audio_en_file,audio_tr_file
149,cold,soğuk,cold.png,ing_149.mp3,tr_149.mp3
150,thank you,teşekkür ederim,thank you.png,ing_150.mp3,tr_150.mp3
151,school,okul,school.png,ing_151.mp3,tr_151.mp3
152,class,sınıf,class.png,ing_152.mp3,tr_152.mp3
153,teacher,öğretmen,teacher.png,ing_153.mp3,tr_153.mp3
154,student,öğrenci,student.png,ing_154.mp3,tr_154.mp3
155,learn,öğrenmek,learn.png,ing_155.mp3,tr_155.mp3
156,study,ders çalışmak,study.png,ing_156.mp3,tr_156.mp3
157,desk,sıra,desk.png,ing_157.mp3,tr_157.mp3
158,board,tahta,board.png,ing_158.mp3,tr_158.mp3
159,computer,bilgisayar,computer.png,ing_159.mp3,tr_159.mp3
160,phone,telefon,phone.png,ing_160.mp3,tr_160.mp3
161,call,aramak,161.webp,ing_161.mp3,tr_161.mp3
162,picture,resim,picture.png,ing_162.mp3,tr_162.mp3
163,work,iş,work.png,ing_163.mp3,tr_163.mp3
164,busy,meşgul,busy.png,ing_164.mp3,tr_164.mp3
165,can,yapabilmek,can.png,ing_165.mp3,tr_165.mp3
166,can't,yapamamak,can't.png,ing_166.mp3,tr_166.mp3
167,do,yapmak,do.png,ing_167.mp3,tr_167.mp3
168,money,para,money.png,ing_168.mp3,tr_168.mp3
169,without,sız/siz,without.png,ing_169.mp3,tr_169.mp3
170,market,market,market.png,ing_170.mp3,tr_170.mp3
171,shop,dükkan,shop.png,ing_171.mp3,tr_171.mp3
172,buy,satın almak,172.webp,ing_172.mp3,tr_172.mp3
173,get,almak,get.png,ing_173.mp3,tr_173.mp3
174,some,biraz,some.png,ing_174.mp3,tr_174.mp3
175,cheese,peynir,cheese.png,ing_175.mp3,tr_175.mp3
176,sandwich,sandviç,sandwich.png,ing_176.mp3,tr_176.mp3
177,meat,et,meat.png,ing_177.mp3,tr_177.mp3
178,chicken,tavuk,chicken.png,ing_178.mp3,tr_178.mp3
179,fish,balık,fish.png,ing_179.mp3,tr_179.mp3
180,more,daha fazla,more.png,ing_180.mp3,tr_180.mp3
181,rice,pirinç,rice.png,ing_181.mp3,tr_181.mp3
182,pasta,makarna,pasta.png,ing_182.mp3,tr_182.mp3
183,soup,çorba,soup.png,ing_183.mp3,tr_183.mp3
184,salad,salata,salad.png,ing_184.mp3,tr_184.mp3
185,vegetable,sebze,vegetable.png,ing_185.mp3,tr_185.mp3
186,potato,patates,potato.png,ing_186.mp3,tr_186.mp3
187,tomato,domates,187.webp,ing_187.mp3,tr_187.mp3
188,enough,yeterli,enough.png,ing_188.mp3,tr_188.mp3
189,fruit,meyve,fruit.png,ing_189.mp3,tr_189.mp3
190,egg,yumurta,egg.png,ing_190.mp3,tr_190.mp3
191,sick,hasta,sick.png,ing_191.mp3,tr_191.mp3
192,doctor,doktor,doctor.png,ing_192.mp3,tr_192.mp3
193,medicine,ilaç,medicine.png,ing_193.mp3,tr_193.mp3
194,hospital,hastane,hospital.png,ing_194.mp3,tr_194.mp3
195,hurt,acımak,hurt.png,ing_195.mp3,tr_195.mp3
196,pain,ağrı,pain.png,ing_196.mp3,tr_196.mp3
197,well,iyi,well.png,ing_197.mp3,tr_197.mp3
198,clean,temiz,clean.png,ing_198.mp3,tr_198.mp3
199,dirty,kirli,dirty.png,ing_199.mp3,tr_199.mp3
200,wash,yıkamak,wash.png,ing_200.mp3,tr_200.mp3
201,face,yüz,face.png,ing_201.mp3,tr_201.mp3
202,hand,el,202.webp,ing_202.mp3,tr_202.mp3
203,soap,sabun,soap.png,ing_203.mp3,tr_203.mp3
204,towel,havlu,towel.png,ing_204.mp3,tr_204.mp3
205,bathroom,banyo,bathroom.png,ing_205.mp3,tr_205.mp3
206,toilet,tuvalet,toilet.png,ing_206.mp3,tr_206.mp3
207,toilet paper,tuvalet kağıdı,207.webp,ing_207.mp3,tr_207.mp3
208,new,yeni,new.png,ing_208.mp3,tr_208.mp3
209,old,eski,old.png,ing_209.mp3,tr_209.mp3
210,car,araba,car.png,ing_210.mp3,tr_210.mp3
211,bus,otobüs,bus.png,ing_211.mp3,tr_211.mp3
212,road,yol,road.png,ing_212.mp3,tr_212.mp3
213,street,cadde,street.png,ing_213.mp3,tr_213.mp3
214,from,den/dan,from.png,ing_214.mp3,tr_214.mp3
215,city,şehir,city.png,ing_215.mp3,tr_215.mp3
216,walk,yürümek,walk.png,ing_216.mp3,tr_216.mp3
217,run,koşmak,run.png,ing_217.mp3,tr_217.mp3
218,fast,hızlı,fast.png,ing_218.mp3,tr_218.mp3
219,slow,yavaş,slow.png,ing_219.mp3,tr_219.mp3
220,park,park,park.png,ing_220.mp3,tr_220.mp3
221,yellow,sarı,yellow.png,ing_221.mp3,tr_221.mp3
222,six,altı,six.png,ing_222.mp3,tr_222.mp3
223,white,beyaz,white.png,ing_223.mp3,tr_223.mp3
224,seven,yedi,seven.png,ing_224.mp3,tr_224.mp3
225,black,siyah,black.png,ing_225.mp3,tr_225.mp3
226,eight,sekiz,eight.png,ing_226.mp3,tr_226.mp3
227,orange,turuncu,orange.png,ing_227.mp3,tr_227.mp3
228,find,bulmak,228.webp,ing_228.mp3,tr_228.mp3
229,lose,kaybetmek,229.webp,ing_229.mp3,tr_229.mp3
230,bring,getirmek,bring.png,ing_230.mp3,tr_230.mp3
231,hold,tutmak,hold.png,ing_231.mp3,tr_231.mp3
232,change,değiştirmek,change.png,ing_232.mp3,tr_232.mp3
233,use,kullanmak,233.webp,ing_233.mp3,tr_233.mp3
234,same,aynı,same.png,ing_234.mp3,tr_234.mp3
235,different,farklı,different.png,ing_235.mp3,tr_235.mp3
236,easy,kolay,236.webp,ing_236.mp3,tr_236.mp3
237,hard,zor,hard.png,ing_237.mp3,tr_237.mp3
238,free,özgür/bedava,free.png,ing_238.mp3,tr_238.mp3
239,today,bugün,today.png,ing_239.mp3,tr_239.mp3
240,Monday,Pazartesi,240.webp,ing_240.mp3,tr_240.mp3
241,tomorrow,yarın,241.webp,ing_241.mp3,tr_241.mp3
242,Tuesday,Salı,242.webp,ing_242.mp3,tr_242.mp3
243,yesterday,dün,243.webp,ing_243.mp3,tr_243.mp3
244,Wednesday,Çarşamba,wednesday.png,ing_244.mp3,tr_244.mp3
245,morning,sabah,morning.png,ing_245.mp3,tr_245.mp3
246,Thursday,Perşembe,thursday.png,ing_246.mp3,tr_246.mp3
247,afternoon,öğleden sonra,247.webp,ing_247.mp3,tr_247.mp3
248,Friday,Cuma,friday.png,ing_248.mp3,tr_248.mp3
249,evening,akşam,evening.png,ing_249.mp3,tr_249.mp3
250,Saturday,Cumartesi,saturday.png,ing_250.mp3,tr_250.mp3
251,night,gece,night.png,ing_251.mp3,tr_251.mp3
252,Sunday,Pazar,sunday.png,ing_252.mp3,tr_252.mp3
253,day,gün,day.png,ing_253.mp3,tr_253.mp3
254,week,hafta,254.webp,ing_254.mp3,tr_254.mp3
255,month,ay,255.webp,ing_255.mp3,tr_255.mp3
256,year,yıl,year.png,ing_256.mp3,tr_256.mp3
257,weekend,hafta sonu,257.webp,ing_257.mp3,tr_257.mp3
258,late,geç,late.png,ing_258.mp3,tr_258.mp3
259,early,erken,early.png,ing_259.mp3,tr_259.mp3
260,all,hepsi,260.webp,ing_260.mp3,tr_260.mp3
261,try,denemek,try.png,ing_261.mp3,tr_261.mp3
262,again,tekrar,262.webp,ing_262.mp3,tr_262.mp3
263,start,başlamak,start.png,ing_263.mp3,tr_263.mp3
264,finish,bitirmek,finish.png,ing_264.mp3,tr_264.mp3
265,ready,hazır,ready.png,ing_265.mp3,tr_265.mp3
266,turn on,açmak (elektronik),266.webp,ing_266.mp3,tr_266.mp3
267,turn off,kapatmak (elektronik),267.webp,ing_267.mp3,tr_267.mp3
268,wake up,uyanmak,wake up.png,ing_268.mp3,tr_268.mp3
269,leave,ayrılmak,leave.png,ing_269.mp3,tr_269.mp3
270,hear,duymak,270.webp,ing_270.mp3,tr_270.mp3
271,listen,dinlemek,listen.png,ing_271.mp3,tr_271.mp3
272,speak,konuşmak,speak.png,ing_272.mp3,tr_272.mp3
273,say,söylemek,273.webp,ing_273.mp3,tr_273.mp3
274,tell,anlatmak,tell.png,ing_274.mp3,tr_274.mp3
275,ask,sormak,ask.png,ing_275.mp3,tr_275.mp3
276,answer,cevaplamak,276.webp,ing_276.mp3,tr_276.mp3
277,question,soru,question.png,ing_277.mp3,tr_277.mp3
278,word,kelime,word.png,ing_278.mp3,tr_278.mp3
279,know,bilmek,know.png,ing_279.mp3,tr_279.mp3
280,think,düşünmek,think.png,ing_280.mp3,tr_280.mp3
281,idea,fikir,idea.png,ing_281.mp3,tr_281.mp3
282,body,vücut,body.png,ing_282.mp3,tr_282.mp3
283,head,baş,283.webp,ing_283.mp3,tr_283.mp3
284,eye,göz,eye.png,ing_284.mp3,tr_284.mp3
285,ear,kulak,ear.png,ing_285.mp3,tr_285.mp3
286,mouth,ağız,mouth.png,ing_286.mp3,tr_286.mp3
287,nose,burun,nose.png,ing_287.mp3,tr_287.mp3
288,hair,saç,hair.png,ing_288.mp3,tr_288.mp3
289,arm,kol,arm.png,ing_289.mp3,tr_289.mp3
290,leg,bacak,leg.png,ing_290.mp3,tr_290.mp3
291,foot,ayak (tek),291.webp,ing_291.mp3,tr_291.mp3
292,feet,ayaklar,292.webp,ing_292.mp3,tr_292.mp3
293,tooth,diş (tek),tooth.png,ing_293.mp3,tr_293.mp3
294,teeth,dişler,294.webp,ing_294.mp3,tr_294.mp3
295,problem,problem,problem.png,ing_295.mp3,tr_295.mp3
296,sure,emin,296.webp,ing_296.mp3,tr_296.mp3
297,maybe,belki,maybe.png,ing_297.mp3,tr_297.mp3
298,left,sol,left.png,ing_298.mp3,tr_298.mp3
299,right,sağ,right.png,ing_299.mp3,tr_299.mp3
300,up,yukarı,up.png,ing_300.mp3,tr_300.mp3
301,down,aşağı,down.png,ing_301.mp3,tr_301.mp3
302,under,altında,under.png,ing_302.mp3,tr_302.mp3
303,inside,içinde,inside.png,ing_303.mp3,tr_303.mp3
304,outside,dışında,outside.png,ing_304.mp3,tr_304.mp3
305,near,yakın,near.png,ing_305.mp3,tr_305.mp3
306,far,uzak,far.png,ing_306.mp3,tr_306.mp3
307,next to,bitişiğinde,307.webp,ing_307.mp3,tr_307.mp3
308,behind,arkasında,308.webp,ing_308.mp3,tr_308.mp3
309,between,arasında,between.png,ing_309.mp3,tr_309.mp3
310,in front of,önünde,in front of.png,ing_310.mp3,tr_310.mp3
311,why,neden,why.png,ing_311.mp3,tr_311.mp3
312,because,çünkü,because.png,ing_312.mp3,tr_312.mp3
313,so,bu yüzden,so.png,ing_313.mp3,tr_313.mp3
314,twenty,yirmi,twenty.png,ing_314.mp3,tr_314.mp3
315,thirty,otuz,thirty.png,ing_315.mp3,tr_315.mp3
316,fifty,elli,fifty.png,ing_316.mp3,tr_316.mp3
317,hundred,yüz,hundred.png,ing_317.mp3,tr_317.mp3
318,sorry,özür dilerim,sorry.png,ing_318.mp3,tr_318.mp3
319,excuse me,affedersiniz,excuse me.png,ing_319.mp3,tr_319.mp3
320,goodbye,hoşçakal,goodbye.png,ing_320.mp3,tr_320.mp3
321,bye,bay bay,321.webp,ing_321.mp3,tr_321.mp3
322,later,sonra,later.png,ing_322.mp3,tr_322.mp3
